,Month,Date,Material,Pit,Reduced Level,Site Mixed Emulsion(Kg),Emulboost 125gm,Emulboost 250gm,DTH 6M,DTH 8M,DTH 10m,DTH 12m,TLD 5m (17ms),TLD 5m (25ms),TLD 5m (42ms),TLD 5m (65ms),TLD 5m (100ms),Electronic Detonator,Number Of Hole,Spacing,Burden,Meterage Blasted,Total Blasted Volume,Bulk Density,Total Blasted Tonnage,Powder Factor,Yield,Total Booster Explosive(Kg),Booster Ratio
163,Feb'23,2023-02-13,FO,Pit1,700,8920,66.0,66.0,0.0,66.0,0.0,66.0,31.0,15.0,14.0,14.0,0.0,2.0,66,4.0,4.0,693,11088.0,3.5,39584.16,4.44,57.12,24.75,0.002774663677130045
164,Feb'23,2023-02-14,HO,Pit1,700,20010,139.0,139.0,0.0,139.0,0.0,139.0,67.0,45.0,0.0,43.0,0.0,2.0,139,4.0,3.5,1529,21406.0,4.0,87336.48,4.36,57.12,52.12,0.0026046976511744126
165,Feb'23,2023-02-15,FO,Pit1,690,9850,73.0,0.0,0.0,0.0,73.0,0.0,0.0,38.0,20.0,0.0,18.0,2.0,73,4.0,3.5,621,9936.0,3.5,35471.52,3.6,57.12,9.12,0.0009258883248730963
166,Feb'23,2023-02-20,FO,Pit2,690,11800,80.0,90.0,80.0,10.0,0.0,0.0,52.0,0.0,40.0,0.0,0.0,2.0,90,4.0,3.5,945,14847.0,3.5,53003.79,4.49,56.08866667,32.5,0.002754237288135593
167,Feb'23,2023-02-20,SG,Pit3,680,8920,57.0,67.0,0.0,57.0,0.0,67.0,18.0,35.0,0.0,0.0,17.0,2.0,67,4.0,3.5,703,9842.0,3.5,35135.94,3.94,49.98,23.88,0.002677130044843049
168,Feb'23,2023-02-22,FO,Pit1,700,8540,70.0,70.0,0.0,0.0,0.0,70.0,0.0,37.0,20.0,12.0,11.0,2.0,70,4.0,4.0,735,11760.0,3.5,41983.2,4.92,57.12,26.25,0.0030737704918032786
169,Feb'23,2022-02-23,SG,Pit3,680,8300,60.0,60.0,0.0,60.0,0.0,60.0,0.0,24.0,23.0,0.0,23.0,2.0,60,4.0,3.5,630,8820.0,3.5,31487.4,3.79,49.98,22.5,0.002710843373493976
170,Feb'23,2023-02-24,HO,Pit1,690,8840,43.0,70.0,0.0,43.0,33.0,43.0,28.0,0.0,28.0,26.0,0.0,2.0,76,4.0,3.5,711,9954.0,4.0,40612.32,4.59,57.12,22.88,0.002588235294117647
171,Feb'23,2023-02-27,SG,Pit1,700,12730,80.0,93.0,0.0,80.0,0.0,93.0,0.0,36.0,22.0,22.0,20.0,2.0,93,4.0,3.5,977,13678.0,3.5,48830.46,3.84,49.98,33.25,0.0026119402985074628
172,Feb'23,2023-02-27,SG,Pit3,680,1700,67.0,0.0,67.0,0.0,0.0,0.0,16.0,27.0,30.0,0.0,0.0,2.0,67,4.0,4.0,268,4288.0,3.5,15308.16,9.0,57.12,8.38,0.004929411764705883
